title,views,channel,published_dates,body part,type
10 MIN HIIT HIIT HOORAY - a not dancy (but very happy) HIIT workout I Pamela Reif,23701,Pamela Reif,6/29/2022,Full Body,HIIT
Olahraga di Rumah 15 Menit Bakar Lemak Seluruh Tubuh dengan HIIT Cardio Workout!,1881602,SKWAD Fitness,6/30/2020,Full Body,HIIT
"MEMBAKAR LEMAK MENDIDIH, Mengecilkan paha & Mengecilkan perut tanpa alat - Home Workout",1028966,Yulia Baltschun,8/8/2021,Lower body,others
"30 min Full Body Fat Burn HIIT (NO JUMPING) - Ab, Core, Arm, Back, Leg, Thigh & Cardio ~ Emi",35706738,emi wong,10/9/2019,Full Body,HIIT
30 Menit Full Body Workout! Gerakan Olahraga Untuk Pemula! | Workout at Home,718530,SKWAD Fitness,10/23/2021,Full Body,others
BEST 15 min Beginner Workout for Fat Burning (NO JUMPING HIIT!!!),22077949,emi wong,8/8/2018,Full Body,HIIT
"30 minute fat burning home workout for beginners. Achievable, low impact results.",40846110,Body Project,3/24/2019,Full Body,Fat/Calorie Burn
10 Menit Olahraga Mudah Mengecilkan Perut Buncit Tanpa Alat! | Workout Pemula,13623357,SKWAD Fitness,7/30/2020,Abs,others
"20 min Fat Burning Workout for TOTAL BEGINNERS (Achievable, No Equipment)",2479813,MadFit,2/7/2022,Full Body,Fat/Calorie Burn
20 MIN FULL BODY WORKOUT - Beginner Version // No Equipment I Pamela Reif,49193270,Pamela Reif,9/1/2019,Full Body,others
DON'T WORKOUT FASTED Until You See This (new science),69657,Thomas DeLauer,6/25/2022,others,others
30 MIN WALKING CARDIO WORKOUT | Intense Full Body Fat Burn at Home ~ Emi,4689532,emi wong,2/27/2022,Full Body,Fat/Calorie Burn
Menurunkan Berat Badan untuk Pemula dengan Latihan Interval Training | HIIT Workout,4795562,SKWAD Fitness,10/12/2017,Full Body,HIIT
BEST 30 MIN FULL BODY FAT BURN WORKOUT (with No Jumping Options) #EmiTransform,3789037,emi wong,7/12/2020,Full Body,Fat/Calorie Burn
10 MIN STANDING ABS WORKOUT | Get Ab Lines & Slim Waist ~ Emi,20700819,emi wong,8/9/2020,Abs,others
28 Minute Full Body Workout To Get In Shape - Do This Workout Every Evening | EMMA Fitness,11512741,EMMA Fitness,7/28/2021,Full Body,others
